Date,Temperature
2024-01-01,24
2024-01-02,25
2024-01-03,23
2024-01-04,26
2024-01-05,27
2024-01-06,28
2024-01-07,26
2024-01-08,25
2024-01-09,24
2024-01-10,26
2024-01-11,27
2024-01-12,29
2024-01-13,30
2024-01-14,28
2024-01-15,27
2024-01-16,26
2024-01-17,25
2024-01-18,24
2024-01-19,26
2024-01-20,27
2024-01-21,28
2024-01-22,29
2024-01-23,30
2024-01-24,31
2024-01-25,29
2024-01-26,28
2024-01-27,27
2024-01-28,26
2024-01-29,25
2024-01-30,24
2024-01-31,26
2024-02-01,27
2024-02-02,28
2024-02-03,29
2024-02-04,30
2024-02-05,31
2024-02-06,32
2024-02-07,30
2024-02-08,29
2024-02-09,28
2024-02-10,27
2024-02-11,26
2024-02-12,28
2024-02-13,29
2024-02-14,30
2024-02-15,31
2024-02-16,32
2024-02-17,33
2024-02-18,31
2024-02-19,30
2024-02-20,29
2024-02-21,28
2024-02-22,27
2024-02-23,29
2024-02-24,30
2024-02-25,31
2024-02-26,32
2024-02-27,33
2024-02-28,34
2024-02-29,32
2024-03-01,31
2024-03-02,30
2024-03-03,29
2024-03-04,28
2024-03-05,30
2024-03-06,31
2024-03-07,32
2024-03-08,33
2024-03-09,34
2024-03-10,35
